id,treatment,time_started,compensation,cost_known,budget_denial_never,budget_denial_high,budget_denial_increasing,budget_denial_decreasing,wealth_recall,profit_recall,feedback
qNXt,Top-down,2024-01-22T09:37:06Z,both,only to me,TRUE,FALSE,FALSE,FALSE,NA,-1100,NA
f2JF,Top-down,2024-01-22T10:17:29Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
vW49,Top-down,2024-01-22T10:49:18Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,13000,-7000,NA
jz5J,Top-down,2024-01-22T10:51:07Z,both,only to me,TRUE,FALSE,FALSE,FALSE,12800,0,NA
mtii,Top-down,2024-01-22T11:30:21Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,10,1000,NA
PUTm,Top-down,2024-01-22T11:39:02Z,both,only to me,FALSE,FALSE,FALSE,TRUE,NA,NA,NA
EjYW,Top-down,2024-01-22T13:00:47Z,both,only to me,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
6Y2B,Top-down,2024-01-22T15:40:51Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,11000,-5000,NA
ol0w,Top-down,2024-01-22T16:14:41Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,13300,-3700,NA
bR5D,Top-down,2024-01-22T18:03:36Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,17000,-10000,NA
u6XB,Bottom-up,2024-01-22T20:01:06Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
emCE,Top-down,2024-01-22T20:01:48Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,17200,-9000,"At the beginning of the experiment, I was highly focused, carefully reading the rules, and I even wrote down the results of the first three rounds to develop a strategy that would have maximized my private wealth and the firm's profit. Later, I realized that the firm couldn't go bankrupt, so I started requesting 6000 Talers each time to maximize my budget. That's when I stopped writing down results, and by the end of the tenth round, I didn't even accurately remember my final outcome."
HelR,Bottom-up,2024-01-22T20:18:12Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
gq0d,Bottom-up,2024-01-22T20:59:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
E3NI,Bottom-up,2024-01-22T21:15:29Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,19100,-10000,NA
J7s2,Bottom-up,2024-01-22T21:24:25Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,0,0,"I dont remember my values, sorry if this casues inconvienence. Very interesting game, somewhat funny that once value for manufacturing went over or equal 5$ the company still persist to ""give"" me money and continue producing."
y3pC,Bottom-up,2024-01-22T22:51:37Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,20400,-9900,NA
6swO,Bottom-up,2024-01-22T23:06:16Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
